prot_type,server_ip,l4_type,rank_,traffic_gb,users,Total Traffic,% Traffic per server,Tope 30 Server
52233,195.201.108.108,1,1,1.325677,7,95.2898,1.39%,1
52233,51.195.39.214,1,3,0.979377,3,95.2898,1.03%,2
52233,51.195.63.13,1,4,0.941218,3,95.2898,0.99%,3
52233,5.83.165.14,1,6,0.896742,3,95.2898,0.94%,4
52233,85.190.157.170,1,7,0.84912,3,95.2898,0.89%,5
52233,88.198.16.22,1,8,0.730955,2,95.2898,0.77%,6
52233,5.83.170.128,1,9,0.700384,1,95.2898,0.74%,7
52233,5.83.171.122,1,10,0.662524,2,95.2898,0.70%,8
52233,78.129.240.145,1,11,0.600664,3,95.2898,0.63%,9
52233,5.101.166.141,1,12,0.569977,3,95.2898,0.60%,10
52233,217.164.5.46,1,13,0.559824,2,95.2898,0.59%,11
52233,54.37.200.239,1,14,0.558861,3,95.2898,0.59%,12
52233,54.175.154.167,1,15,0.556857,538,95.2898,0.58%,13
52233,51.89.99.168,1,16,0.548496,5,95.2898,0.58%,14
52233,31.214.160.100,1,17,0.541841,5,95.2898,0.57%,15
52233,54.167.123.147,1,18,0.535829,519,95.2898,0.56%,16
52233,5.83.171.222,1,19,0.526498,1,95.2898,0.55%,17
52233,5.83.171.247,1,20,0.515151,4,95.2898,0.54%,18
52233,45.159.7.99,1,21,0.508365,2,95.2898,0.53%,19
52233,18.212.26.159,1,22,0.50736,499,95.2898,0.53%,20
52233,18.234.120.23,1,23,0.496939,471,95.2898,0.52%,21
52233,95.156.250.79,1,24,0.490619,1,95.2898,0.51%,22
52233,3.89.58.221,1,25,0.485453,484,95.2898,0.51%,23
52233,46.251.238.153,1,26,0.481697,4,95.2898,0.51%,24
52233,34.205.63.179,1,27,0.476187,466,95.2898,0.50%,25
52233,18.212.133.64,1,28,0.475055,448,95.2898,0.50%,26
52233,35.175.233.56,1,29,0.474374,474,95.2898,0.50%,27
52233,51.68.102.244,1,30,0.47133,1,95.2898,0.49%,28
52233,5.101.166.192,1,31,0.471236,3,95.2898,0.49%,29
52233,5.101.166.55,1,32,0.464384,3,95.2898,0.49%,30
52233,46.251.238.167,1,33,0.462084,3,95.2898,0.48%,
52233,54.226.113.228,1,34,0.46064,450,95.2898,0.48%,
52233,46.251.233.87,1,35,0.454115,1,95.2898,0.48%,
52233,5.101.166.196,1,36,0.453388,2,95.2898,0.48%,
52233,54.164.89.233,1,37,0.444044,424,95.2898,0.47%,
52233,185.239.237.223,1,38,0.434402,2,95.2898,0.46%,
52233,54.221.114.213,1,39,0.434111,445,95.2898,0.46%,
52233,52.204.251.249,1,40,0.431827,430,95.2898,0.45%,
52233,178.80.69.254,1,41,0.430239,6,95.2898,0.45%,
52233,3.80.67.210,1,42,0.429072,426,95.2898,0.45%,
52233,3.85.42.252,1,43,0.426047,418,95.2898,0.45%,
52233,54.196.202.23,1,44,0.425454,424,95.2898,0.45%,
52233,34.235.160.20,1,45,0.423698,426,95.2898,0.44%,
52233,34.207.171.205,1,46,0.407564,397,95.2898,0.43%,
52233,5.83.165.37,1,47,0.405536,1,95.2898,0.43%,
52233,52.90.212.36,1,48,0.400514,393,95.2898,0.42%,
52233,185.185.133.55,1,49,0.396291,5,95.2898,0.42%,
52233,95.156.194.187,1,50,0.394586,1,95.2898,0.41%,
52233,5.83.165.75,1,51,0.391304,1,95.2898,0.41%,
52233,3.87.39.30,1,52,0.389684,379,95.2898,0.41%,
52233,54.221.55.15,1,53,0.387304,401,95.2898,0.41%,
52233,3.80.70.207,1,54,0.387262,401,95.2898,0.41%,
52233,3.94.162.15,1,55,0.382705,367,95.2898,0.40%,
52233,158.69.22.184,1,56,0.376376,2,95.2898,0.39%,
52233,107.21.138.105,1,57,0.373841,402,95.2898,0.39%,
52233,18.234.144.199,1,58,0.373506,394,95.2898,0.39%,
52233,52.90.72.57,1,59,0.373425,374,95.2898,0.39%,
52233,54.91.176.247,1,60,0.372194,359,95.2898,0.39%,
52233,148.251.31.226,1,61,0.37101,1,95.2898,0.39%,
52233,204.236.245.10,1,62,0.370804,370,95.2898,0.39%,
52233,5.83.165.88,1,63,0.369911,2,95.2898,0.39%,
52233,54.144.254.197,1,64,0.365836,363,95.2898,0.38%,
52233,85.190.148.87,1,65,0.358729,3,95.2898,0.38%,
52233,103.214.108.4,1,66,0.355636,1,95.2898,0.37%,
52233,5.83.165.36,1,67,0.348979,2,95.2898,0.37%,
52233,54.196.97.129,1,68,0.346558,335,95.2898,0.36%,
52233,52.91.107.100,1,69,0.344861,363,95.2898,0.36%,
52233,95.16.189.196,1,70,0.344276,2,95.2898,0.36%,
52233,92.96.77.54,1,71,0.343356,3,95.2898,0.36%,
52233,5.62.127.245,1,72,0.341917,2,95.2898,0.36%,
52233,3.208.31.49,1,73,0.341891,366,95.2898,0.36%,
52233,54.166.155.233,1,74,0.340442,347,95.2898,0.36%,
52233,174.129.67.29,1,75,0.337423,353,95.2898,0.35%,
52233,54.91.176.254,1,76,0.333265,348,95.2898,0.35%,
52233,85.190.154.179,1,77,0.326369,5,95.2898,0.34%,
52233,54.166.225.126,1,78,0.322317,340,95.2898,0.34%,
52233,35.175.192.167,1,79,0.317094,319,95.2898,0.33%,
52233,157.175.59.245,1,80,0.316062,5,95.2898,0.33%,
52233,95.156.213.154,1,81,0.302015,1,95.2898,0.32%,
52233,46.251.238.172,1,82,0.301293,4,95.2898,0.32%,
52233,46.251.238.168,1,83,0.293418,12,95.2898,0.31%,
52233,100.26.31.20,1,84,0.292585,330,95.2898,0.31%,
52233,5.83.171.26,1,85,0.292072,3,95.2898,0.31%,
52233,54.198.40.119,1,86,0.290536,324,95.2898,0.30%,
52233,31.214.160.126,1,87,0.284192,6,95.2898,0.30%,
52233,5.83.170.83,1,88,0.283603,1,95.2898,0.30%,
52233,46.251.238.169,1,89,0.283024,2,95.2898,0.30%,
52233,18.232.110.151,1,90,0.282951,292,95.2898,0.30%,
52233,34.229.122.0,1,91,0.279662,283,95.2898,0.29%,
52233,52.23.195.53,1,92,0.279028,315,95.2898,0.29%,
52233,34.230.76.192,1,93,0.277512,309,95.2898,0.29%,
52233,5.83.170.142,1,94,0.269579,1,95.2898,0.28%,
52233,54.166.13.61,1,95,0.267427,287,95.2898,0.28%,
52233,52.90.90.52,1,96,0.267212,293,95.2898,0.28%,
52233,3.85.244.124,1,97,0.266395,279,95.2898,0.28%,
52233,18.234.124.164,1,98,0.265349,277,95.2898,0.28%,
52233,51.178.65.70,1,99,0.264752,1,95.2898,0.28%,
52233,52.207.229.44,1,100,0.264225,280,95.2898,0.28%,
52233,54.227.115.0,1,101,0.263689,292,95.2898,0.28%,
52233,5.83.165.207,1,102,0.258004,1,95.2898,0.27%,
52233,34.229.215.161,1,103,0.257925,275,95.2898,0.27%,
52233,35.173.213.195,1,104,0.256939,268,95.2898,0.27%,
52233,54.224.125.25,1,105,0.254333,273,95.2898,0.27%,
52233,54.174.210.238,1,106,0.252136,254,95.2898,0.26%,
52233,54.89.97.66,1,107,0.251118,258,95.2898,0.26%,
52233,3.94.98.100,1,108,0.249107,264,95.2898,0.26%,
52233,54.234.59.214,1,109,0.245928,242,95.2898,0.26%,
52233,54.236.222.45,1,110,0.244549,194,95.2898,0.26%,
52233,54.152.175.136,1,111,0.242387,257,95.2898,0.25%,
52233,54.91.205.155,1,112,0.2417,272,95.2898,0.25%,
52233,18.209.49.211,1,113,0.241617,275,95.2898,0.25%,
52233,54.162.51.85,1,114,0.241132,262,95.2898,0.25%,
52233,184.73.28.243,1,115,0.23991,253,95.2898,0.25%,
52233,100.24.60.239,1,116,0.238334,187,95.2898,0.25%,
52233,54.144.88.143,1,117,0.237488,251,95.2898,0.25%,
52233,54.166.209.59,1,118,0.237286,255,95.2898,0.25%,
52233,18.212.145.41,1,119,0.237213,256,95.2898,0.25%,
52233,46.251.238.164,1,120,0.236807,3,95.2898,0.25%,
52233,184.72.136.242,1,121,0.236679,241,95.2898,0.25%,
52233,5.83.170.119,1,122,0.235752,2,95.2898,0.25%,
52233,128.0.115.35,1,123,0.234488,6,95.2898,0.25%,
52233,3.91.160.236,1,124,0.233958,245,95.2898,0.25%,
52233,85.190.154.103,1,125,0.232657,2,95.2898,0.24%,
52233,54.211.11.243,1,126,0.23171,265,95.2898,0.24%,
52233,18.212.3.86,1,127,0.231579,235,95.2898,0.24%,
52233,18.208.227.204,1,128,0.23001,259,95.2898,0.24%,
52233,3.90.26.234,1,129,0.228832,273,95.2898,0.24%,
52233,18.212.207.146,1,130,0.228285,255,95.2898,0.24%,
52233,52.91.255.81,1,131,0.227275,239,95.2898,0.24%,
52233,46.251.238.177,1,132,0.225866,6,95.2898,0.24%,
52233,37.10.127.67,1,133,0.225865,1,95.2898,0.24%,
52233,46.251.238.160,1,134,0.225113,2,95.2898,0.24%,
52233,54.161.175.139,1,135,0.224956,245,95.2898,0.24%,
52233,3.90.253.166,1,136,0.224849,227,95.2898,0.24%,
52233,52.87.189.215,1,137,0.224219,180,95.2898,0.24%,
52233,3.84.96.48,1,138,0.223264,246,95.2898,0.23%,
52233,3.85.194.21,1,139,0.223061,230,95.2898,0.23%,
52233,54.234.200.25,1,140,0.222519,236,95.2898,0.23%,
52233,3.93.57.57,1,141,0.220755,263,95.2898,0.23%,
52233,34.239.131.185,1,142,0.218222,236,95.2898,0.23%,
52233,3.89.253.134,1,143,0.217897,247,95.2898,0.23%,
52233,52.23.184.87,1,144,0.216933,241,95.2898,0.23%,
52233,85.190.158.47,1,145,0.216547,2,95.2898,0.23%,
52233,3.82.48.167,1,146,0.216334,240,95.2898,0.23%,
52233,54.39.28.79,1,147,0.214565,2,95.2898,0.23%,
52233,5.83.165.150,1,148,0.214046,1,95.2898,0.22%,
52233,54.82.171.107,1,149,0.213929,243,95.2898,0.22%,
52233,185.198.188.133,1,150,0.213365,1,95.2898,0.22%,
52233,54.86.233.118,1,151,0.212309,244,95.2898,0.22%,
52233,54.146.209.94,1,152,0.2117,242,95.2898,0.22%,
52233,37.10.127.83,1,153,0.211292,2,95.2898,0.22%,
52233,128.0.115.38,1,154,0.210971,4,95.2898,0.22%,
52233,54.80.239.12,1,155,0.209968,237,95.2898,0.22%,
52233,52.90.231.80,1,156,0.20905,218,95.2898,0.22%,
52233,18.212.84.8,1,157,0.207242,228,95.2898,0.22%,
52233,54.198.50.77,1,158,0.207089,231,95.2898,0.22%,
52233,151.80.99.159,1,159,0.206731,2,95.2898,0.22%,
52233,94.130.51.183,1,160,0.206674,2,95.2898,0.22%,
52233,54.144.77.229,1,161,0.204792,221,95.2898,0.21%,
52233,185.179.202.71,1,162,0.204289,1,95.2898,0.21%,
52233,3.88.105.65,1,163,0.204257,240,95.2898,0.21%,
52233,54.227.93.14,1,164,0.203305,230,95.2898,0.21%,
52233,5.83.170.166,1,165,0.201751,2,95.2898,0.21%,
52233,3.82.11.255,1,166,0.200621,224,95.2898,0.21%,
52233,3.85.169.96,1,167,0.200615,177,95.2898,0.21%,
